"Lance.code","Lon","Lat"
"1709_4",-80.0438666666667,-7.07456666666667
"1709_5",-80.0774,-7.05203333333333
"1709_6",-80.1764166666667,-6.96628333333333
"1710_1",-80.1528,-6.83015
"1710_2",-80.2525333333333,-6.86421666666667
"1710_3",-80.2994,-6.863
"1710_4",-80.3269333333333,-6.80363333333333
"1710_5",-80.3439,-6.79275
"1710_6",-80.3028666666667,-6.79633333333333
"1710_7",-80.0587,-6.7806
"1711_1",-80.0303666666667,-6.97191666666667
"1711_2",-79.7832833333333,-7.2299
"1711_3",-79.7937166666667,-7.21471666666667
"1711_4",-79.8972833333333,-7.18941666666667
"1711_5",-80.0009833333333,-6.98293333333333
"1711_6",-80.1798333333333,-7.45716666666667
"1711_7",-80.1645166666667,-7.55755
"1712_1",-80.0448666666667,-7.12396666666667
"1712_2",-80.1237333333333,-7.18943333333333
"1712_3",-79.9847,-7.12918333333333
"1712_4",-79.9141666666667,-7.09026666666667
"1712_5",-79.88425,-7.11391666666667
"1712_6",-79.8707166666667,-7.08101666666667
"1712_7",-79.8843833333333,-7.0612
"1712_8",-80.0056,-6.92441666666667
"1713_1",-80.0177166666667,-6.99743333333333
"1713_2",-80.3122833333333,-7.12108333333333
"1713_3",-80.2496833333333,-6.99196666666667
"1713_4",-80.218,-6.98471666666667
"1713_5",-80.1995333333333,-6.96673333333333
"1713_6",-79.9255833333333,-7.51243333333333
"1713_7",-79.8489,-7.5253
"1713_8",-79.7536166666667,-7.37746666666667
"1713_9",-79.74265,-7.29038333333333
"1713_10",-79.8933166666667,-7.04166666666667
"1714_1",-80.13995,-6.91978333333333
"1714_2",-80.1534333333333,-6.91001666666667
"1714_3",-79.9651333333333,-7.2966
"1714_4",-80.1557166666667,-6.94983333333333
"1714_5",-80.1821666666667,-6.91541666666667
"1714_6",-80.6768,-6.56106666666667
"1715_1",-79.9636,-6.87083333333333
"1715_2",-80.11025,-6.69845
"1715_3",-80.0909333333333,-6.69778333333333
"1715_4",-80.0916166666667,-6.68736666666667
"1716_1",-80.0405,-6.76616666666667
"1716_2",-80.0708833333333,-6.75176666666667
"1716_3",-80.2709833333333,-7.03676666666667
"1716_4",-80.2565666666667,-7.05858333333333
"1716_5",-80.23535,-7.03276666666667
"1716_6",-80.2326666666667,-7.01145
"1716_7",-80.0965166666667,-6.84381666666667
"1717_1",-80.9987,-3.6117
"1717_2",-81.0149166666667,-3.63238333333333
"1717_3",-80.9440166666667,-3.59581666666667
"1717_4",-80.8678,-3.54385
"1718_1",-80.9471,-3.62496666666667
"1718_2",-80.8766666666667,-3.63
"1718_3",-80.7478333333333,-3.4755
"1718_4",-80.9576333333333,-3.54998333333333
"1719_1",-79.4354,-9.07016666666667
"1719_2",-79.7506333333333,-9.20246666666667
"1719_3",-79.9055833333333,-9.137
"1719_4",-79.9387166666667,-9.0477
"1719_5",-79.8131666666667,-8.84216666666667
"1719_6",-79.5842666666667,-8.60066666666667
"1719_7",-79.52525,-8.62726666666667
"1719_8",-79.6935,-8.36708333333333
"1719_9",-79.1584,-8.29858333333333
"1719_10",-79.3568,-7.88438333333333
"1720_1",-79.7017666666667,-8.21833333333333
"1720_2",-80.3796166666667,-8.22303333333333
"1720_3",-80.9853,-8.10258333333333
"1720_4",-81.401,-7.93896666666667
"1720_5",-81.0221666666667,-8.30511666666667
"1720_6",-80.9891166666667,-8.23911666666667
"1720_7",-81.0226666666667,-8.507
"1720_8",-80.8059166666667,-8.55518333333333
"1720_9",-80.8051666666667,-8.58898333333333
"1720_10",-80.7555666666667,-8.58926666666667
"1720_11",-80.7554166666667,-8.52276666666667
"1720_12",-80.6889833333333,-8.62301666666667
"1721_1",-80.0490333333333,-6.74161666666667
"1721_2",-80.07475,-6.7053
"1721_3",-80.0840833333333,-6.69685
"1721_4",-80.07685,-6.70576666666667
"1722_1",-80.1285,-6.6848
"1722_2",-80.1108666666667,-6.68476666666667
