"Lance.code","Km.day"
"225_5",0.234481323515115
"225_6",0.183977653834937
"225_7",0.261536860843783
"225_8",0.253961310391756
"228_1",0.212191358024691
"228_2",0.25563210848644
"228_3",0.165409011373579
"228_4",0.251622193059201
"228_5",0.182116992320405
"228_6",0.243936521823662
"228_7",0.29406046466414
"229_1",0.325349956255468
"229_2",0.155839895013123
"229_3",0.0749125109361328
"229_4",0.109361329833771
"229_5",0.169510061242345
"229_6",0.106627296587926
"229_7",0.112095363079615
"229_8",0.448381452318461
"229_9",0.314413823272091
"229_10",0.278871391076115
"233_1",0.406003937007874
"233_2",NA
"233_3",0.353373797025371
"233_4",0.39096675415573
"233_5",0.483696048410614
"233_6",0.446103091280255
"233_7",0.353373797025371
"233_8",0.385954359871681
"233_9",0.353373797025371
"234_1",0.670407735491397
"234_2",0.162485114707884
"234_3",0.332071121318169
"234_4",0.363398585593468
"234_5",0.349196801788665
"234_6",0.310350746087294
"234_7",0.380524266063963
"235_1",0.361393627879849
"235_2",0.205508165645961
"235_3",0.10275408282298
"235_4",0.369413458734323
"235_5",0.548355934674831
"235_6",0.418534922717994
"235_7",0.438584499854183
"235_8",0.537328667249927
"235_9",0.583943934091572
"235_10",0.540837343248759
"239_1",NA
"239_2",0.376248541848936
"239_3",0.420266477107029
"239_4",0.395113371245262
"239_5",0.503586140274133
"239_6",0.474240850102069
"239_7",0.590573964712742
"239_8",0.532931430446194
"239_9",0.505682232429278
"239_10",0.470572688830563
"239_11",0.488389472149313
"240_1",0.407674735102558
"240_2",0.396814547487119
"240_3",0.428142011762418
"240_4",0.388460557013707
"240_5",0.236000230873919
"240_6",0.406003937007874
"240_7",0.270669291338583
"241_1",0.338336614173228
"241_2",0.388369422572177
"241_3",0.289124015748031
"241_4",0.420357611548555
"241_5",0.381397637795275
"242_1",0.395979148439779
"242_2",0.378435768445609
"242_3",0.380941965587635
"242_4",0.437582020997375
"242_5",0.431065908428112
"243_1",0.227312080781569
"243_2",0.236083770778652
"243_3",0.269917432195975
"243_4",0.230570137066199
"243_5",0.286959572761737
"243_6",0.230570137066199
"243_7",0.238840587634878
"243_8",0.222800925925926
"243_9",0.242599883347914
"243_10",0.186461067366579
"244_1",0.48605035481676
"244_2",0.488480606590843
"244_3",0.481189851268591
"244_4",0.439875571109166
"244_5",0.479731700204141
"244_6",0.400505492369008
"246_1",0.756250000000001
"246_2",0.687499999999999
"246_3",0.615625000000001
"246_4",0.570625000000001
"246_5",0.734374999999999
"246_6",0.424999999999999
"246_7",0.703125
"246_8",0.563749999999999
"246_9",0.684375
"247_1",0.510922462817148
"247_2",0.485252928453387
"247_3",0.560286951978226
"247_4",0.524250874890639
"247_5",0.501049564984933
"247_6",0.392447688830563
"247_7",0.565717045785944
"247_8",0.55781872752017
"247_9",0.33222301205405
"247_10",0.574109008943326
"247_11",0.529680968698356
"254_1",0.271922389909594
"254_2",0.255632108486439
"254_3",0.244354221347331
"254_4",0.312021544181977
"254_5",0.27568168562263
"254_6",0.27142115048119
"254_7",0.249366615631379
"254_8",0.281195319335083
"261_1",0.408586079517837
"261_2",0.333020438417421
"261_3",0.383524108097598
"261_4",0.375929571303587
"261_5",0.385422742296103
"262_1",0.560833333333335
"262_2",0.805833333333335
"262_3",0.858333333333335
"262_4",1.1775
"262_5",0.689166666666665
"262_6",0.646666666666665
"263_1",0.358595041071256
"263_2",0.283067372654808
"263_3",0.338260668805289
"263_4",0.250467823466511
"263_5",0.277257552007389
"263_6",0.298882995528336
"263_7",0.306952190871974
"263_8",0.299851298969573
"263_9",0.358272273257509
"263_10",0.369569146738602
"263_11",0.2943642461359
"264_1",0.416655274861476
"264_2",NA
"264_3",0.365790864683581
"264_4",0.367955307669875
"264_5",0.382384927578498
"264_6",0.30987608753767
"264_7",0.328273852921163
"264_8",0.31312275201711
"269_1",0.381625473899096
"269_2",0.361879678234664
"269_3",0.400611815884125
"269_4",0.394536186448917
"269_5",0.363018858753766
"269_6",0.432888597258676
"269_7",0.311376008554487
"269_8",0.396434820647419
"269_9",0.374030937105085
"272_1",0.505067074948965
"272_2",0.452391367745698
"272_3",0.604221347331583
"272_4",0.278871391076115
"281_1",0.270479427918733
"281_2",0.305983887430738
"281_3",0.342133882570235
"281_4",0.372796824876057
"281_5",0.349557542286381
"281_6",0.353107988237581
"281_7",0.347298167590162
"281_8",0.366341468601148
"281_9",0.31308477933314
"281_10",0.334387455040343
"285_1",0.33321030183727
"285_2",0.304844706911636
"285_3",0.35200678040245
"285_4",0.347222222222221
"285_5",0.369777996500436
"285_6",0.346538713910761
"285_7",0.356791338582677
"292_1",0.385156933508312
"292_2",0.444963910761154
"293_1",0.414821194225721
"293_2",0.471278980752406
"293_3",0.40764435695538
"293_4",0.406687445319336
"293_5",0.380372375328084
"293_6",0.24736165791776
"293_7",0.354057305336832
