Trip code,Lance #,mammal code,Lights,Animal code,Latitude,Longitude,Species,Condition,State,Length,Sex,Young - length,Young - sex,Use,Sample?,Photo #s,Comments,photo link,photo link 2
235,7,25,,gvh-1398,,,1,2,2,197.00,,,,6,TRUE,23,,TC235-07-MC25 dcap,
235,7,26,,gvh-1399,,,1,2,2,200.00,1,,,6,TRUE,22,,,
235,7,27,,gvh-1400,,,1,1,2,225.00,1,,,5,TRUE,21-20,,,
235,7,28,,gvh-1401,,,1,2,2,197.00,2,,,6,TRUE,19,,,
235,7,29,,gvh-1402,,,1,2,2,,1,,,6,TRUE,18,,,
235,8,30,,gvh-1415,,,1,2,2,149.00,1,,,6,TRUE,13,,TC235-08-MC30 d. cap,
235,8,31,,gvh-1416,,,1,2,2,203.00,1,,,6,TRUE,12,,,
235,10,32,,gvh-1428,,,2,2,2,162.00,1,,,8,TRUE,9-4-3,Uso: Para comer en casa.,TC235-10-MC32,
239,2,37,,gvh-1431,,,1,2,2,200.00,1,,,6,TRUE,25,,,
239,2,38,,gvh-1432,,,1,2,2,221.00,1,,,6,TRUE,24,,,
239,4,39,,gvh-1443,,,4,2,2,178.00,2,,,6,TRUE,21,,,
239,4,40,,gvh-1444,,,4,2,2,,1,,,6,FALSE,23 - 22,Por su gran tamaño y peso no se subio a bordo ni se tomo muestra.,,
239,9,41,,gvh-1498,,,4,2,2,,1,,,6,TRUE,10-11-12,Tenia una long aprox de 230 cm.,,
240,1,42,,gvh-1552,,,1,2,2,178.00,2,,,6,TRUE,,,,
240,3,43,,gvh-1520,,,2,2,2,145.00,1,,,8,TRUE,8,,,
241,1,44,,ass-14,07´46.887,80´05.018,1,2,2,242.00,1,,,6,TRUE,,,TC241-01-MC44 dcap,
241,1,45,,ass-15,07´46.887,80´05.018,1,2,2,176.00,2,,,6,TRUE,,,,
241,1,46,,ass-16,07´46.887,80´05.018,1,2,2,217.00,2,,,6,TRUE,,,,
241,2,47,,ass-20,07´48.087,80´06.755,1,2,2,222.00,1,,,6,TRUE,,,,
241,2,48,,ass-21,07´48.087,80´06.755,1,2,2,196.00,2,,,6,TRUE,,,,
241,2,49,,ass-22,07´48.087,80´06.755,1,2,2,215.00,2,,,6,TRUE,,,,
241,2,50,,ass-23,07´48.087,80´06.755,1,2,2,228.00,2,,,6,TRUE,,,,
241,2,53,,ass-,,,9,2,2,,,,,6,TRUE,,"Species=Grampus; Se enmallo ""cachalotillo""; se tomo foto, no se pudo subir a bordo.",TC241-02-MC53 Grampus,
241,3,51,,ass-29,08´08.082,79´57.503,1,2,2,231.00,1,,,6,TRUE,,,,
241,3,52,,ass-30,08´08.082,79´57.503,1,2,2,210.00,1,,,6,TRUE,,,,
242,2,54,,gvh-1573,08´25.837,79´57.738,3,2,2,90.00,2,,,6,TRUE,,"Fue un ejemplar muy pequeño, aún no poseía dientes.",,
242,3,55,,gvh-1584,08´22.000,79´47.000,1,2,2,200.00,2,,,6,TRUE,,,,
242,3,56,,gvh-1585,08´22.000,79´47.000,1,2,2,216.00,1,,,6,TRUE,,,,
242,3,57,,gvh-1586,08´23.000,79´47.000,1,2,2,222.00,1,,,6,TRUE,,,,
242,5,58,,gvh-1590,08´25.057,79´34.510,3,2,2,191.00,2,,,6,TRUE,,,,
243,1,61,,gvh-1601,08´56.000,79´39.000,1,2,2,167.00,1,,,6,TRUE,26,,TC243-01-MC61 dcap,
243,1,62,,gvh-1602,08´56.000,79´39.000,3,2,2,,2,,,6,TRUE,,Madre de gvh-1603,,
243,1,63,,gvh-1603,08´56.000,79´39.000,3,2,2,100.00,2,,,6,TRUE,25,"No tenía dientes, aún se amamantaba",TC243-01-MC63 young L.obsc,
243,2,65,,gvh-1614,09´04.000,79´45.000,4,2,2,,,,,6,TRUE,22,,,
243,3,66,,gvh-1627,09´00.000,79´41.000,1,2,2,201.00,1,,,6,TRUE,17,Sample missing,TC243-03-MC66,
243,5,67,,gvh-1648,09´02.000,79´41.000,1,2,2,,,,,6,TRUE,,,,
243,6,68,,gvh-1659,09´10.000,79´47.000,4,2,2,,,,,6,TRUE,,,,
243,7,69,,gvh-1670,09´05.000,79´46.000,4,1,2,,,,,5,FALSE,11,,,
243,7,70,,gvh-1671,09´05.000,79´47.000,4,2,2,,,,,6,TRUE,10,,,
243,7,71,,gvh-1672,09´05.000,79´47.000,4,2,2,220.00,1,,,6,TRUE,9-8,,,
243,7,72,,gvh-1673,09´05.000,79´47.000,4,2,2,,,,,6,TRUE,,,,
243,9,73,,gvh-1689,08´35.000,79´44.000,3,2,2,154.00,1,,,9,TRUE,6,El bufeo fue regalado para usarse como carnada en redes,,
243,9,74,,gvh-1690,08´34.000,79´44.000,3,2,2,200.00,2,,,9,TRUE,5,El bufeo fue regalado para usarse como carnada en redes,TC243-09-MC74 L.obsc,
244,1,156,,ass-52,08'21.100,79'22.768,1,2,2,210.00,1,,,6,TRUE,2,Sample missing,,
244,1,157,,ass-53,08'21.100,79'22.768,1,2,2,206.00,1,,,6,TRUE,3,Sample missing,,
244,1,158,,ass-54,08'21.100,79'22.768,1,2,2,218.00,1,,,6,TRUE,4,Sample missing,,
244,4,159,,ass-55,08'17.833,79'24.880,1,2,2,242.00,2,,,6,TRUE,5,Sample missing,,
244,5,160,,,08'36.833,79'26.045,1,1,5,,,,,,FALSE,,Manada de locos avistados,,
246,5,75,,gvh-1694,08´14.000,79´20.000,1,2,2,225.00,1,,,6,TRUE,23-22,,TC246-05-MC75 D.cap,
246,6,76,,gvh-1705,08´31.000,79´35.000,1,2,2,195.00,1,,,6,TRUE,16,,,
246,8,77,,gvh-1727,08´25.000,79´33.000,3,2,2,186.00,1,,,6,TRUE,14,,,
246,8,78,,gvh-1728,08´25.000,79´33.000,4,2,2,183.00,,,,6,TRUE,13,,,
247,1,79,,gvh-1743,08´12.000,79´52.000,1,2,2,240.00,1,,,6,TRUE,,,,
247,4,81,,gvh-1773,08´19.000,80´07.000,1,2,2,,,,,6,TRUE,,,,
247,7,82,,gvh-1797,07´53.000,80´07.000,1,2,2,220.00,1,,,4,TRUE,,,,
247,7,83,,gvh-1798,07´53.000,80´09.000,1,2,2,,,,,6,TRUE,,,,
247,7,84,,gvh-1799,07´53.000,80´09.000,1,2,2,225.00,2,,,4,TRUE,6,,,
247,7,85,,gvh-1800,07´53.000,80´09.000,1,2,2,206.00,1,,,4,TRUE,,,,
247,7,86,,gvh-1801,07´53.000,80´09.000,1,2,2,236.00,1,,,4,TRUE,5,,TC247-07-MC86,
247,8,88,,gvh-1809,07´52.000,80´05.000,1,2,2,175.00,1,,,4,TRUE,4,,TC247-08-MC88 D.cap,
247,8,89,,gvh-1810,07´52.000,80´05.000,1,2,2,172.00,2,,,4,TRUE,1,,,
247,8,90,,gvh-1811,07´52.000,80´05.000,1,2,2,191.00,1,,,4,TRUE,1,,,
247,8,91,,gvh-1812,07´52.000,80´05.000,1,2,2,215.00,2,,,4,TRUE,1,,,
247,9,92,,gvh-1818,08´17.000,79´23.000,1,2,2,205.00,1,,,4,TRUE,,,,
247,10,93,,gvh-1827,08´25.000,79´15.000,1,2,2,195.00,2,,,4,TRUE,,,,
247,10,94,,gvh-1828,08´25.000,79´15.000,1,2,2,175.00,1,,,8,TRUE,,,,
247,11,95,,gvh-1835,08´17.000,79´15.000,1,2,2,220.00,1,,,8,TRUE,,,,
254,2,97,,gvh-1850,11´08.000,78´06.000,3,2,2,183.00,2,,,1,TRUE,25,,,
254,4,98,,gvh-1868,11´10.000,78´09.000,4,2,2,196.00,1,,,1,TRUE,20,,,
254,4,99,,gvh-1869,11´11.000,78´09.000,4,2,2,210.00,1,,,1,TRUE,19,,TC254-4-gvh1869 (deformed tursiops),
254,4,100,,gvh-1870,11´11.000,78´09.000,4,2,2,162.00,1,,,1,TRUE,18,,,
254,4,101,,gvh-1871,11´11.000,78´09.000,4,2,2,199.00,1,,,1,TRUE,18,,,
254,8,102,,gvh-1902,11´02.000,78´02.000,3,2,2,180.00,1,,,2,TRUE,13,Usando para ser usado como carnada en una próxima salida,,
254,8,103,,gvh-1903,11´02.000,78´02.000,3,2,2,185.00,1,,,2,TRUE,12,Usando para ser usado como carnada en una próxima salida,,
255,1,104,,mgv-01,07´50.261,79´44.723,3,1,1,222.00,1,,,2,TRUE,,,,
255,1,105,,mgv-02,07´50.261,79´44.723,3,1,1,232.00,2,,,2,TRUE,,,,
255,1,106,,mgv-03,07'50.261,79'44.723,3,1,1,223.00,1,,,2,TRUE,,,,
255,1,107,,mgv-04,07´50.261,79´44.723,3,1,1,216.00,2,,,2,TRUE,,,,
255,1,108,,mgv-05,07´50.261,79´44.723,3,1,1,213.00,1,,,2,TRUE,,,,
255,1,109,,mgv-06,07´50.261,79´44.723,3,1,1,193.00,1,,,2,TRUE,23,,,
255,1,110,,mgv-07,07´50.261,79´44.723,3,1,1,216.00,2,,,2,TRUE,25,,,
255,1,111,,mgv-08,07´50.261,72´44.723,3,1,1,186.00,1,,,2,TRUE,,,,
262,1,114,,,,,,,,,,,,,FALSE,,Se observaron aprox:  20 locos,,
262,3,113,,ass-76,08´16.960,79´19.075,1,2,2,205.00,1,,,6,TRUE,A,,,
262,3,115,,ass-81,08´16.960,79´19.075,1,2,2,190.00,2,,,6,TRUE,A,,,
262,4,112,,,,,,,,,,,,,FALSE,,,,
262,5,117,,ass-85,08´18.556,79´15.275,1,2,2,203.00,1,,,6,TRUE,B,,,
263,1,118,,gvh-1917,09´28.000,79´00.000,4,1,1,205.00,2,,,1,TRUE,,Algunas embarcaciones calan cerca de zonas con presencia de chanchos.,,
263,2,119,,gvh-1923,09´39.000,78´53.000,4,1,1,284.00,2,,,1,TRUE,"8, 7",,TC263-02-mc119,
263,4,120,,gvh-1929,09´52.000,78´37.000,4,1,1,258.00,2,,,1,TRUE,4,,,
264,3,121,,gvh-1984,10´52.000,77´49.000,3,2,2,191.00,1,,,1,TRUE,15,,,
264,4,122,,gvh-1998,10´41.000,77´51.000,3,2,2,192.00,2,,,1,TRUE,9,,,
264,4,123,,gvh-1999,10´40.000,77´52.000,3,2,2,187.00,2,,,1,TRUE,8,,,
264,6,124,,gvh-2017,09´44.000,78´43.000,3,2,2,,,,,6,TRUE,,"No se pudo subir al bote, se desmallaron en el agua, no se pudo medir ni sexar.",,
264,6,125,,gvh-2018,09´44.000,78´43.000,3,2,2,,,,,6,TRUE,,"No se pudo subir al bote, se desmallaron en el agua, no se pudo medir ni sexar.",,
264,6,126,,gvh-2019,09´44.000,78´43.000,3,2,2,,2,,,6,TRUE,,"No se pudo subir al bote, se desmallaron en el agua, no se pudo medir.",,
264,6,127,,gvh-2020,09´44.000,78´43.000,3,2,2,200.00,1,,,6,TRUE,6,,,
264,6,128,,gvh-2021,09´44.000,78´43.000,3,2,2,191.00,2,,,6,TRUE,,,,
264,6,129,,gvh-2022,09´44.000,78´43.000,3,2,2,182.00,1,,,6,TRUE,5,,,
264,6,130,,gvh-2023,09´44.000,78´43.000,3,2,2,181.00,1,,,6,TRUE,5,,,
264,6,131,,gvh-2024,09´44.000,78´43.000,3,2,2,214.00,1,,,6,TRUE,,Al finalizar el recojo de este lance se observo una manada de 300 locos.,,
264,7,135,,gvh-2026,09´35.000,78´32.000,1,2,2,196.00,2,,,8,TRUE,4,,,
264,7,136,,gvh-2027,09´35.000,78´32.000,1,2,2,219.00,1,,,8,TRUE,3,,,
264,7,137,,gvh-2028,09´35.000,78´32.000,1,2,2,213.00,1,,,6,TRUE,2,,,
269,3,138,,gvh-2052,08´29.000,79´30.000,1,2,2,186.00,1,,,6,TRUE,,,,
269,3,139,,gvh-2053,08´29.000,79´30.000,1,2,2,148.00,2,,,1,TRUE,27,,,
269,3,140,,gvh-2054,08´29.000,79´30.000,1,2,2,207.00,2,,,6,TRUE,26,,,
269,4,143,,gvh-2067,08´43.000,79´30.000,1,2,2,128.00,1,,,6,TRUE,25,,,
269,7,144,,gvh-2088,08´47.000,79´29.000,1,2,2,,,,,6,TRUE,,,,
269,7,145,,gvh-2089,08´47.000,79´29.000,1,2,2,,,,,6,TRUE,,,,
269,7,146,,gvh-2090,08´47.000,79´29.000,1,2,2,,,,,6,TRUE,,,,
269,7,147,,gvh-2091,08´47.000,79´29.000,1,2,2,,1,,,6,TRUE,,,,
269,7,148,,gvh-2092,08´47.000,79´29.000,1,2,2,,1,,,6,TRUE,18,,,
269,7,149,,gvh-2093,08´47.000,79´29.000,1,2,2,,1,,,6,TRUE,,,,
272,1,150,,oaa-5,08´33.790,79´14.157,1,2,2,215.00,2,,,2,TRUE,16,,,
272,1,151,,oaa-6,08´33.790,79´14.157,1,2,2,207.00,1,,,2,TRUE,15,,,
272,1,152,,oaa-7,08´33.790,79´14.157,1,2,2,207.00,2,,,2,TRUE,13,,,
