Trip Code,Data entry,Boat name,Observer name,Captain name,Vessel capacity,Vessel length,Lugar de zarpe,. crew,. de matricula,Motor HP,Fecha de zarpe,hora de zarpe,Sistema,Objective species,Objective species 2,Objective species 3,fecha de llegada,hora de llegada,Puerto de llegada,Bait type 1,Bait type 2,Bait type 3,Bait state 1,Bait state 2,Bait state 3,. hooks,Corcho distance,"corcho distance, m or b",hook tipo y tamano,Mainline length,Mainline length units,Mainline material,Mainline thickness,hook depth (branchline length),Branchline material,Branchline thickness,"hook depth, m or b",hook - distance betwen,hook distance units,Use weight,Weight amount,Weigth to hook distance,linea madre/net depth,Net depth category,. panes,Pane 1 .,Net 1 type,Pane size - Length,Pane size - Depth,Pane size - Units,Mesh size,Mesh size - Units,Net depth,Net depth - Units,Pane 2 .,Net 2 type,Pane 2 length,Pane 2 depth,Pane 2 units,Pane 2 water depth,Pane 2 water depth - Units,Pane 2 mesh size,Pane 2 mesh size - units,Pane 3 .,Net 3 type,Pane 3 length,Pane 3 depth,Pane 3 units,Pane 3 water depth,Pane 3 water depth - Units,Pane 3 mesh size,Pane 3 mesh size - units,Mixed - type,Mixed- depth category,mixed - . panes,mixed - pane 1 - length,mixed - pane 1 - height,mixed - pane 1 units,mixed - pane 2 - length,mixed - pane 2 - height,mixed - pane 2 units,mixed - pane 1 mesh size,mixed - pane 1 mesh units,mixed - pane 2 mesh size,mixed - pane 2 mesh units,PS - number floats,PS - distance between floats FROM,PS - distance between floats TO,PS - number leads,PS - distance between leads FROM,PS - distance between leads TO,PS - boliche length,PS - boliche height,PS - material relinga superior,PS - grosor relinga superior,PS - material relinga inferior,PS - grosor relinga inferior,PS - mesh size,PS - ring diameter,Capture species 1,Capture species 2,Capture species 3,Capture species 4,Capture species 5,Capture species 6,Capture species 7,Quantity 1,Quantity 2,Quantity 3,Quantity 4,Quantity 5,Quantity 6,Quantity 7,Quantity Units 1,Quantity Units 2,Quantity Units 3,Quantity Units 4,Quantity Units 5,Quantity Units 6,Quantity Units 7,Cost of operation,Estimada ganacia,Comments
11,,San Miguel 2,MMR,,,,Ilo,3,IO-12389-BM,,11/2/03,1/0/00,manual,tiburon,,,11/12/03,1/0/00,Ilo,caballa,sardina,pota,congelada,fresca,,500,,,1 Noruego,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,Perico,,,,,700,,,,,,,k,,,,,,,,,Distancia entre anzuelos:  18bz
12,,San Miguel 2,MMR,,,,Ilo,3,IO-12389-BM,,10/17/03,1/0/00,manual,tiburon,,,10/24/03,1/0/00,Ilo,caballa,pota,,fresca,congelada,,500,,,1 Noruego,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,,,,,,,,,,,,,,,1400,300,Distancia entre anzuelos:  18bz. Retornaron al Puerto por falla del tanue de agua de motor
13,,Jesusito,MCT,,,,Ilo,3,IO-20816-BM,,10/8/03,,manual,tiburon,,,10/24/03,1/0/00,Ilo,caballa,,,fresca,,,700,,,J,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,,,,,,200,1450,,,,,,k,k,,,,,,4350,600,Distancia entre anzuelos: 15bz
14,,Nicolet Yohana,PDM,,,,Ilo,3,IO-18080-BM,,4/23/04,1/0/00,manual,tiburon,,,5/7/04,1/0/00,Ilo,caballa,,,congelada,,,800,,,J # 2,,,,,9,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,,,,,,1000,300,,,,,,k,k,,,,,,,1200,"Distancia entre anzuelos:  14, 15 y 16 bz"
15,,Milagritos,MCT,,,,Ilo,4,IO-1056-BM,,12/3/03,1/0/00,manual,perico,,,12/8/03,1/0/00,Ilo,pota,,,fresca,,,500,,,,,,,,5,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,,,,,,,,,,,,,,,1600,750,"Distancia entre anzuelos:  14, 15bz"
16,,San Miguel 2,MMR,,,,Ilo,3,IO-12389-BM,,11/28/03,1/0/00,manual,tiburon,,,12/4/03,1/0/00,Ilo,pota,,,fresca,,,350,,,1 Noruego,,,,,7,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,perico,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
17,,Rebeca 3,VZR,,,,Ilo,4,,,11/27/03,1/0/00,manual,perico,,,12/3/03,1/0/00,Ilo,pota,,,fresca,,,500,,,Aug-00,,,,,5,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,diamante,Azul,,,,,2200,20,10,,,,,k,k,k,,,,,1600,990,Distancia entre anzuelos:  8bz
18,,Jesusito,PDM,,,,Ilo,3,IO-20816-BM,,11/26/03,1/0/00,manual,perico,,,12/4/03,1/0/00,Ilo,lisa,pota,,fresca,fresca,,700,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,Diamante,,,,,1700,,,,,,,k,,,,,,,,,Distancia entre anzuelos:  15bz
19,,Milagritos,MCT,,,,Ilo,4,IO-1057-BM,,12/20/03,1/0/00,manual,perico,,,12/26/03,1/0/00,Ilo,pota,,,fresca,,,500,,,,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,2900,,,,,,,k,,,,,,,1850,980,Distancia entre anzuelos:  14 y 15bz
20,,Jesusito,PDM,,,,Ilo,3,,,12/18/03,1/0/00,manual,perico,,,12/26/03,1/0/00,Ilo,pota,,,fresca,,,600,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,3000,,,,,,,k,,,,,,,,,Distancia entre anzuelos:  15bz
21,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,12/16/03,1/0/00,manual,perico,,,12/23/03,1/0/00,Ilo,pota,,,fresca,,,350,,,1 Noruego,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
22,,Aletita Azul 3,FJ,,,,Ilo,3,IO-21422-BM,,12/15/03,1/0/00,manual,perico,,,12/24/03,1/0/00,Ilo,pota,,,fresca,,,500,,,Mustad 1.0,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  8 y 16 bz
23,,Milagritos,MCT,,,,Ilo,4,IO-1057-BM,,12/10/03,1/0/00,manual,perico,,,12/17/03,1/0/00,Ilo,pota,,,fresca,,,500,,,,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1950,,,,,,,k,,,,,,,1800,700,Distancia entre anzuelos:  14 y 15bz
24,,Rebeca 3,VZR,,,,Ilo,4,IO-20824-BM,,12/7/03,,manual,perico,,,12/15/03,1/0/00,Ilo,pota,,,fresca,,,500,,,Aug-00,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,azul,,,,,,3200,,,,,,,k,,,,,,,2000,,Distancia entre anzuelos:  17bz
25,,Jesusito,PDM,,,,Ilo,3,IO-20816-BM,,12/6/03,1/0/00,manual,perico,,,12/14/03,1/0/00,Ilo,pota,,,fresca,,,600,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,2800,,,,,,,k,,,,,,,,,Distancia entre anzuelos:  15bz
26,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,12/5/03,1/0/00,manual,perico,,,12/12/03,1/0/00,Ilo,pota,lisa,,fresca,fresca,,350,,,1Noruego,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
27,,aletita azul 3,FJ,,,,Ilo,4,IO-21422-BM,,12/4/03,1/0/00,manual,perico,,,12/12/03,1/0/00,Ilo,pota,,,fresca,,,500,,,Mustad 1.0,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  8 y 16bz
28,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,2/6/04,1/0/00,manual,perico,,,2/15/04,1/0/00,Ilo,pota,lisa,,fresca,fresca,,400,,,1 Noruego,,,,,7,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
29,,Milagritos,PDM,,,,Ilo,3,IP-1057-BM,,2/5/04,1/0/00,manual,perico,,,2/12/04,1/0/00,Ilo,pota,lisa,,fresca,fresca,,500,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,500,,,,,,,k,,,,,,,,,Distancia entre anzuelos:  15bz
30,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,1/25/04,1/0/00,manual,perico,,,2/3/04,1/0/00,Ilo,pota,lisa,,fresca,fresca,,400,,,1 Noruego,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
31,,aletita azul 3,MLC,,,,Ilo,4,IO-21422-BM,,1/23/04,1/0/00,manual,perico,,,2/4/04,1/0/00,Ilo,pota,lisa,Caballa,fresca,fresca,congelada,850,,,Mustad 1,,,,,14.22999954,,,m,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,diamante,Azul,Espada,,,,1000,500,400,106,,,,k,k,k,k,,,,,,Distancia entre anzuelos:  28 mts.  01/27 aprox 13:00 Temblor
32,,Milagritos,PDM,,,,Ilo,3,IO-1057-BM,,1/22/04,1/0/00,manual,perico,,,2/1/04,1/0/00,Ilo,caballa,pota,lisa,fresca,fresca,fresca,500,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,2000,,,,,,,k,,,,,,,,850,Distancia entre anzuelos:  16bz
33,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,1/15/04,1/0/00,manual,perico,,,1/23/04,,Ilo,other,lisa,,fresca,fresca,,400,,,1 Noruego,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
34,,Jesusito,PDM,,,,Ilo,3,IO-20816-BM,,1/8/04,1/0/00,manual,perico,,,1/16/04,1/0/00,Ilo,pota,,,fresca,,,600,,,J # 2,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,,,,,,,1000,,,,,,,k,,,,,,,,500,Distancia entre anzuelos:  15bz
35,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,1/4/04,1/0/00,manual,perico,,,1/13/04,1/0/00,Ilo,pota,,,fresca,,,400,,,1 Noruego,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
36,,aletita azul 3,MLC,,,,Ilo,4,IO-21422-BM,,12/27/03,1/0/00,manual,perico,,,1/7/04,1/0/00,Ilo,pota,lisa,,fresca,fresca,,500,,,Mustad #1,,,,,14.22999954,,,m,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perico,"diamante, azul",,,,,,3400,100,,,,,,k,k,,,,,,,,Distancia entre anzuelos:  28 mts
37,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,12/26/03,1/0/00,manual,perico,,,1/1/04,1/0/00,Ilo,pota,,,fresca,,,350,,,1 Noruego,,,,,4,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
38,,San Miguel 2,MMR,,,,Ilo,3,IO-12389-BM,,4/25/04,1/0/00,manual,tiburon,,,5/6/04,1/0/00,Ilo,caballa,,,congelada,,,600,,,1 Noruego,,,,,7,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
39,,aletita azul 3,MMR,,,,Ilo,4,IO 21422-BM,,5/11/04,1/0/00,manual,tiburon,,,5/25/04,1/0/00,Ilo,caballa,,,congelada,,,800,,,1 Noruego,,,,,9,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz
40,,San Miguel 2,MMR,,,,Ilo,4,IO-12389-BM,,5/26/04,1/0/00,manual,tiburon,,,6/13/04,1/0/00,Ilo,caballa,pota,,fresca,congelada,,600,,,1 Noruego,,,,,7,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos: 18bz
41,,Lucio 5,MCT,,,,Ilo,5,IO-21543-CM,,8/9/04,1/0/00,manual,tiburon,,,8/28/04,1/0/00,Ilo,caballa,,,fresca,,,1250,,,,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,otros,,,,,,,,4000,,,,k,,,k,,,,9500,1200,Distancia entre anzuelos:  16bz
42,,Jesusito,PDM,,,,Ilo,3,IO-20816-BM,,7/18/04,1/0/00,manual,tiburon,,,8/1/04,1/0/00,Ilo,caballa,pota,,congelada,fresca,,630,,,J #2 Mustard,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,1700,50,,,,,,k,k,,,,,,,1400,Distancia entre anzuelos:  15bz
43,,Jesusito,PDM,,,,Ilo,3,IO-20816-BM,,8/4/04,1/0/00,manual,tiburon,,,8/20/04,1/0/00,Ilo,pota,caballa,Caballa,fresca,congelada,salada,630,,,"J #02, mustad",,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,azul,diamante,,,,,,1500,50,,,,,,k,k,,,,,,4500,600,Distancia entre anzuelos:  15bz
44,,Lucio 4,LCT,,,,Ilo,5,IO 21497 CM,,8/9/04,1/0/00,manual,tiburon,,,8/29/04,,Ilo,caballa,,,fresca,,,900,,,,,,,,10,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,Chancho,,,,,,,,,,,,,,,,,,,8000,700,Distancia entre anzuelos:  25bz. El chancho es una especie rara parecida al dimante.
45,,San Miguel 2,MMR,,,,Ilo,3,IO 12389 BM,,8/25/04,1/0/00,manual,tiburon,,,9/7/04,1/0/00,Ilo,pota,sardina,,fresca,fresca,,600,,,1,,,,,7,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distancia entre anzuelos:  18bz.
46,,Lucio 4,LCT,,,,Ilo,6,IO 21497 CM,,8/31/04,1/0/00,manual,tiburon,,,9/23/04,1/0/00,Ilo,caballa,,,fresca,,,800,,,,,,,,10,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diamante,azul,Chancho,,,,,,,,,,,,,,,,,,,8500,600,Distancia entre anzuelos:  25bz
47,,Lucio 5,MCT,,,,Ilo,4,IO-21543-CM,,9/1/04,1/0/00,manual,tiburon,,,9/25/04,1/0/00,Ilo,caballa,,,fresca,,,1200,,,,,,,,8,,,b,,,,,,superficial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"azul, diamante",,,,,,,1500,,,,,,,k,,,,,,,7500,100,Distancia entre anzuelos: 16bz
48,,Lucio 5,MCT,,,,Ilo,6,IO 21543 BM,,6/9/04,1/0/00,potero,pota,,,6/12/04,1/0/00,Ilo,potero muestra,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pota,,,,,,,800,,,,,,,k,,,,,,,600,95,
49,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,6/12/04,1/0/00,potero,pota,,,6/13/04,1/0/00,Ilo,potero muestra,,,fresca,,,600,18,b,1 Noruego,,,,,7,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pota,,,,,,,,,,,,,,,,,,,,,,,
50,,Lucio 2,LCT,,,,Ilo,6,,,6/13/04,1/0/00,potero,pota,,,6/14/04,,Ilo,potero muestra,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,6/14/04,1/0/00,potero,pota,,,6/15/04,1/0/00,Ilo,potero muestra,,,fresca,,,600,18,b,1 Noruego,,,,,17,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,San Miguel 2,MMR,,,,Ilo,4,IO 12389 BM,,6/15/04,1/0/00,potero,pota,,,6/16/04,1/0/00,Ilo,potero muestra,,,fresca,,,600,18,b,1 noruego,,,,,7,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Lucio 5,MCT,,,,Ilo,6,IO 21543 CM,,6/16/04,1/0/00,potero,pota,,,6/19/04,1/0/00,Ilo,potero muestra,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pota,,,,,,,600,,,,,,,k,,,,,,,350,80,
54,,Lucio 5,MCT,,,,Ilo,6,IO 21543 CM,,6/21/04,1/0/00,potero,pota,,,6/23/04,1/0/00,Ilo,potero muestra,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pota,,,,,,,650,,,,,,,k,,,,,,,350,45,
